L 08/01/2020 - 02:54:21: SourceMod log file session started (file "/home/tcagame/jackm1/488/csgo/addons/sourcemod/logs/L20200801.log") (Version "1.10.0.6490")
L 08/01/2020 - 02:54:21: -------- Mapchange to de_overpass --------
L 08/01/2020 - 11:53:41: -------- Mapchange to de_overpass --------
L 08/01/2020 - 12:21:47: -------- Mapchange to de_overpass --------
L 08/01/2020 - 14:15:13: -------- Mapchange to de_overpass --------
L 08/01/2020 - 14:21:19: [basecommands.smx] "leo dooly<30><STEAM_1:0:549055462><>" changed map to "inferno"
L 08/01/2020 - 14:21:22: [SM] Changed map to "inferno"
L 08/01/2020 - 14:21:23: -------- Mapchange to de_inferno --------
L 08/01/2020 - 15:03:23: -------- Mapchange to de_dust2 --------
L 08/01/2020 - 15:36:07: -------- Mapchange to de_overpass --------
L 08/01/2020 - 18:24:27: -------- Mapchange to de_overpass --------
L 08/01/2020 - 18:41:14: -------- Mapchange to cs_office --------
L 08/01/2020 - 19:40:42: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "sl0w<56><STEAM_1:1:196094535><>" (damage "0")
L 08/01/2020 - 19:40:43: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "eldritch<41><STEAM_1:0:1226702><>" (damage "0")
L 08/01/2020 - 19:40:43: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "ynnHvH<43><STEAM_1:1:521335109><>" (damage "0")
L 08/01/2020 - 19:40:43: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "kr0md<45><STEAM_1:0:125290236><>" (damage "0")
L 08/01/2020 - 19:40:43: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "dylan<47><STEAM_1:0:152419574><>" (damage "0")
L 08/01/2020 - 19:40:43: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "sl0w<56><STEAM_1:1:196094535><>" (damage "0")
L 08/01/2020 - 19:48:28: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "ynnHvH<43><STEAM_1:1:521335109><>" (damage "0")
L 08/01/2020 - 19:48:29: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "ynnHvH<43><STEAM_1:1:521335109><>" (damage "0")
L 08/01/2020 - 19:48:29: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "ynnHvH<43><STEAM_1:1:521335109><>" (damage "0")
L 08/01/2020 - 19:48:29: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "ynnHvH<43><STEAM_1:1:521335109><>" (damage "0")
L 08/01/2020 - 19:48:29: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "ynnHvH<43><STEAM_1:1:521335109><>" (damage "0")
L 08/01/2020 - 19:48:29: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "ynnHvH<43><STEAM_1:1:521335109><>" (damage "0")
L 08/01/2020 - 19:48:29: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "ynnHvH<43><STEAM_1:1:521335109><>" (damage "0")
L 08/01/2020 - 19:48:30: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "ynnHvH<43><STEAM_1:1:521335109><>" (damage "0")
L 08/01/2020 - 19:48:30: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "ynnHvH<43><STEAM_1:1:521335109><>" (damage "0")
L 08/01/2020 - 20:29:44: -------- Mapchange to de_inferno --------
L 08/01/2020 - 20:48:03: -------- Mapchange to de_inferno --------
L 08/01/2020 - 20:51:20: [playercommands.smx] "tyler hvh<69><STEAM_1:1:557907659><>" renamed "tyler hvh<69><STEAM_1:1:557907659><>" (to "dylan")
L 08/01/2020 - 21:14:03: [basecommands.smx] "dylan<69><STEAM_1:1:557907659><>" console command (cmdline "mp_damage_scale_ct_body .5")
L 08/01/2020 - 21:22:01: [basecommands.smx] "dylan<69><STEAM_1:1:557907659><>" console command (cmdline "mp_damage_scale_ct_body 1")
L 08/01/2020 - 21:23:34: [basecommands.smx] "dylan<69><STEAM_1:1:557907659><>" console command (cmdline "mp_damage_scale_t_body .5")
L 08/01/2020 - 21:23:43: [basecommands.smx] "dylan<69><STEAM_1:1:557907659><>" console command (cmdline "mp_damage_scale_t_body 1")
L 08/01/2020 - 21:30:44: [basecommands.smx] "dylan<69><STEAM_1:1:557907659><>" console command (cmdline "mp_damage_scale_t_body .5")
L 08/01/2020 - 21:31:47: [basecommands.smx] "dylan<69><STEAM_1:1:557907659><>" console command (cmdline "mp_damage_scale_t_body 1")
L 08/01/2020 - 22:18:07: -------- Mapchange to de_overpass --------
L 08/01/2020 - 22:21:49: [basecommands.smx] "kr0md<82><STEAM_1:0:125290236><>" kicked "orange<84><STEAM_1:1:557909412><>" (reason "")
L 08/01/2020 - 22:22:22: [basecommands.smx] "kr0md<82><STEAM_1:0:125290236><>" kicked "orange<86><STEAM_1:1:557909412><>" (reason "")
L 08/01/2020 - 23:47:55: -------- Mapchange to de_overpass --------
L 08/02/2020 - 18:41:04: Log file closed.
